Accuracy ,0.774647887,,
neutral,neutral,1,@enjoyGLOBE  anu na ang signal??? 
negative,negative,1,@enjoyGLOBE trying to check our most recent bill in your website but the last bill posted is our Jan-Feb bill. do you still have problems? 
neutral,negative,0,Ang tagal ko namang malaman kung ano na nangyari dun sa plan ko sa Globe Telecom? :O @talk2GLOBE @enjoyGLOBE @debbie_obias 
negative,negative,1,@StephOfGlobe @JoyceOfGlobe @talk2GLOBE @enjoyGLOBE ang simple naman ng issue ko.recontracting lang di pa masolusyunan? ibbalik ko na unit 
neutral,negative,0,@enjoyGLOBE installers still have not returned. been trying to get this completed since march 2013. pls advise 
neutral,neutral,1,@enjoyGLOBE @talk2GLOBE hi! Are u guys also releasing the Samsung Galaxy Mega LTE? 
neutral,neutral,1,@enjoyGLOBE 
negative,negative,1,"?@imyorce: I'm abandoning Globe, the way they abandoned all my concerns. "
negative,negative,1,"RT @imyorce: I'm abandoning Globe, the way they abandoned all my concerns. "
positive,positive,1,Data plan finally activated!!! Thanks @enjoyGLOBE :) 
neutral,neutral,1,@enjoyGLOBE i need help 
neutral,neutral,1,@enjoyGLOBE do this come with unlisurf and bbm? Or like BBMAX? Or is it on top of the bill? 
negative,negative,1,"@enjoyGLOBE My signal has been wonky as of late. Nawawala signal, and if meron man, can't send my texts naman :/ Nakaka abala na. "
neutral,neutral,1,"@enjoyGLOBE Hi I would like to follow up on the delivery status of the phone I ordered.Was supposed to be delivered yesterday,still not here "
negative,negative,1,@prnczdee ay naku!! @enjoyGLOBE @talk2GLOBE AS USUAL!! MALAMANG BUKAS NANAMAN YANG DISPATCH NA YAN! KAKABWISET! PANG ILANG BESES NA YAN?! 
negative,negative,1,Hey @enjoyGLOBE I'll get one of your stupid female twitter tech support gang-raped if you don't fix my fucking internet connection 
negative,negative,1,"@prnczdee ay naku ok lang yun noh? duh! NAKAKAHIYA naman kasi sa nabubulok na service nila, @enjoyGLOBE @talk2GLOBE . "
negative,negative,1,"called @enjoyGLOBE to check on my options before my contract ends, not quiet satisfied coz they're still asking me to pay some amt despite.. "
neutral,neutral,1,"Globe Telecom set to open a data center at the Gateway Business Park in General Trias, Cavite. | @enjoyGLOBE http://t.co/VgAaGaOMhM "
positive,neutral,0,@enjoyGLOBE ano ibigsabihin ng new update carrier? :) 
negative,neutral,0,@enjoyGLOBE hoping you also have this kind of promo for TM subscribers.. :) dont want to change my number to try it out.. 
neutral,positive,0,Lightning fast LTE speeds from @enjoyGLOBE in Megamall. #WOW http://t.co/gWODyRLxmH 
positive,positive,1,Thank you @enjoyGlobe got my s4! 
negative,negative,1,"@enjoyGLOBE FVCK YOU! Ang bagal ng GLOBE TATOO broadband niyo pag-umaga, sa gabi lang mabilis. Sayang ang monthly dues na binabayaran! :P "
neutral,neutral,1,Battle of LTE Android Phone. Which is better? #GlobeGalaxyS4LTE or #GlobeHTCOneLTE @enjoyglobe? http://t.co/VZDT48kMzD 
neutral,neutral,1,@enjoyGLOBE its with plan 999 then 600 for the cash out? Does it come with unlimited data plan? 
negative,positive,0,Glad that connection improved in my building already! Thanks @enjoyGLOBE <3 
neutral,neutral,1,@enjoyGLOBE how to block stolen simcard since the theft is still using it 
neutral,neutral,1,"?@enjoyGLOBE: The #GlobeGalaxyS4LTE is so slim, it slips in your pocket smoothly!"" -nice slogan! pabor to sa mga mandurukot.haha! "
positive,neutral,0,"@enjoyGLOBE hi, just to inquire what's the difference of consumable to non-consumable? thanks "
neutral,positive,0,RT @jhanndagreat13: @laragc3a @enjoyGLOBE yeah !!! #note8withglobe !!!! 
negative,negative,1,@talk2GLOBE's Mobile Internet Connection here in Palawan is the SLOWEST Connection i could ever (cont) http://t.co/gTd6mbsiDq 
neutral,neutral,1,@talk2GLOBE When will the OS 7.1 be available for BlackBerry for the OTA update. 
positive,positive,1,@talk2GLOBE okay! :) 
negative,negative,1,Your Connection here reaches hspa+ but that's all bullcrap!!!! @talk2GLOBE @DeyOfGlobe @KenOfGlobe @RolandOfGlobe 
neutral,neutral,1,@Talk2Globe Why is 3G turning off whenever there's a lightning? 
negative,negative,1,"@dominicalmelor Mga 1 wk cguro narrowed dwn na ng #PNP na @SMARTCares / @enjoyGLOBE subscriber ung prank caller. Ending, di n m trace. #BGC "
positive,neutral,0,"@talk2GLOBE Hi, any updates on my concern? Thanks! :) "
neutral,neutral,1,@talk2GLOBE sorry may I know what DM stands for ? 
neutral,neutral,1,@talk2GLOBE cant send DM po sainyo here s twitter. panu po? 
negative,negative,1,RT @JeamyLee: @seyerandrei ahaha! Oh well. I learned my lesson na din nung last na uwi ko. I'll never use @talk2GLOBE na! 
negative,negative,1,@talk2GLOBE @JenOfGlobe @ChrisOfGlobe @JoyceOfGlobe ang bagal ng internet kanina pang tanghali. Nakakainis na tlga kayo. 
positive,neutral,0,Pls answer i dmed you... thanks :-) @talk2GLOBE 
neutral,negative,0,"@talk2GLOBE nahh, not me. my sissy @bebejooyce (internet) and my boyfriend & his whole family (phone has no signal since 5 in the afternoon) "
negative,negative,1,Globe broadband doesn't work even with 4 steady lights on :( @talk2GLOBE 
negative,negative,1,@talk2GLOBE @JenOfGlobe @ChrisOfGlobe @JoyceOfGlobe nakakahiya nmn sainyo 1MBPS ang inavail ko tpos 2 ln? Pakiayos. http://t.co/XgaM7fhYrk 
neutral,neutral,1,"@ryanalimon Hello Kristian! In here on behalf of @talk2GLOBE, please DM me your mobile number and SIM Serial Numb... http://t.co/7LXEMDtcou "
neutral,neutral,1,Thinking of getting a data plan for work stuff. @enjoyGLOBE or @SMARTCares ? 
negative,negative,1,Bat ang hina ng BIS? Anong problema? #talk2globe 
negative,negative,1,@talk2GLOBE Kailan po maaayos ang signal ng mobile internet sa Countryside Paranaque? Thanks ;) 
positive,neutral,0,"@talk2GLOBE Hi globe, is it okay to submit ITR as proof of billing? I don't have other proof of billing registered to my name. Thanks "
negative,neutral,0,@talk2GLOBE i think yes. because she mentioned earlier that globe's trying to fix the problem na. 
neutral,neutral,1,"@jc_zombeardo Sorry to hear that, JahMichael. Kindly DM us via @talk2GLOBE your Tattoo mobile # & exact location ... http://t.co/v83L0n5UQm "
neutral,negative,0,@talk2GLOBE my bf told me via facebook that everyone in their house has no network service. (they're all globe users) 
neutral,neutral,1,@talk2GLOBE Good evening po. Pwede po bang mag-apply ng Plan online? 
negative,negative,1,And they're not even answering me. Grrrrrr! @talk2GLOBE 
neutral,neutral,1,@talk2GLOBE @sophACEticated hahahahaa hello Sophia! Hahahaahaha 
neutral,neutral,1,RT @kriziacamillexo: @talk2GLOBE @sophACEticated hahahahaa hello Sophia! Hahahaahaha 
neutral,neutral,1,"@talk2GLOBE sadly, he doesn't have a twitter account :'(( "
neutral,neutral,1,@talk2GLOBE okay po cge po ?? 
neutral,neutral,1,@talk2GLOBE yes we could 
negative,negative,1,Can someone help me?? 3G signal is not working fine since 4pm #grrr @talk2GLOBE 
negative,negative,1,Inuubos talaga ng @talk2GLOBE ang natitira ko pang pasensya. 
negative,negative,1,"@talk2GLOBE Naa. It's okay. First, your chat agent ignored my responses, second, your representative just didn't get back to my concern. "
positive,neutral,0,"@kriziacamillexo @talk2GLOBE Hello, Krizia! :)))))) "
positive,negative,0,"RT @sophACEticated: My Globe Microsim is now working on my iP4. Thanks to myself, and thanks for not getting back to me @MariaofGlobe . @Jo÷ "
neutral,negative,0,@talk2GLOBE @ferdieong why can't I use LTE 
positive,positive,1,"Ang bilis talaga ng internet connection ng globe! Send tweet, Post IG, update status in just few seconds! wow #GlobeLangNgGlobe @talk2GLOBE "
neutral,neutral,1,"@kenofglobe @joyceofglobe @talk2GLOBE just registered on Supersurf50, lets me browse for a few minutes then i need to reconnect just to... "
negative,negative,1,@kenofglobe @joyceofglobe @talk2GLOBE be able to browse again. why is this always like this? I bought a new sim and the issue still persists 
negative,negative,1,"My daily struggle with Globe's 4g data. You pay premium, you get shit. #Globe4G @enjoyGLOBE @talk2GLOBE http://t.co/8fPpL1BHpV "
neutral,neutral,1,I ?@enjoyGLOBE 
negative,positive,0,@talk2GLOBE thanks again.. always been a loyal subscriber #alwaysmyway 
neutral,neutral,1,@talk2GLOBE sure. dmed. 
negative,negative,1,"No internet connection AGAIN, @talk2globe!!! WTF is happening???? "
positive,neutral,0,"@talk2GLOBE ito po serial number ng phone ko, thanks. :) http://t.co/M5nXHYjKWn "
positive,neutral,0,@talk2GLOBE  ito po sim serial number ko. :) http://t.co/NHKbfdxnAu 
neutral,neutral,1,Hi! I was in globe smbicutan when I tweeted u. Both parties agreed that there will be on-visit here tomorrow. @talk2globe 
neutral,negative,0,@talk2GLOBE anywhere in the subdivision. and it is not the first time that this ever happened (followed) 
negative,neutral,0,"@lhoncio83 For verification purposes, kindly DM @talk2GLOBE the ff. details: your current plan subscription, billing address and birth date. "
positive,neutral,0,"@BeyondHideki @talk2GLOBE sent you a DM, Hideki :) "
neutral,neutral,1,@talk2GLOBE well i hope it will be very very soon 
positive,neutral,0,@talk2GLOBE okay. :) 
neutral,neutral,1,The representative I talked awhile ago advised that I'll text him if there will be no apperance of any technician until 5pm. @talk2globe 
positive,neutral,0,@talk2GLOBE thanks Globe!! :) 
positive,positive,1,Accnt # 3585601. Thank you! @talk2globe 
negative,negative,1,"@KenOfGlobe @talk2GLOBE thanks. already replied. I noticed too that the disconnection happens every 15 mins, constantly. "
neutral,negative,0,Hi @talk2GLOBE it's been more than 24 hours but my upgraded line and new micro sim still isn't activated ?? 
neutral,neutral,1,@talk2GLOBE any updates on my installation ? Ü 
neutral,neutral,1,@talk2GLOBE @JoseMaristela i paid CASH to have that line that was required IN THE BUILDING to be installed THAT DAY. and the GLOBE .. 
neutral,negative,0,"Reply to @talk2GLOBE and the GLOBE INSTALLERS disappeared. they said they'd be right back, and never came back. "
neutral,negative,0,"@talk2GLOBE at any rate, i've been trying to get this resolved SINCE MARCH. "
negative,negative,1,@talk2GLOBE should it really take this long to get a line up and running across from the New World Hotel? 
neutral,positive,0,Times like these (atrocious traffic) make me appreiciate @enjoyGLOBE's mobile LTE. keeps me from going crazy! 
negative,negative,1,Kainis ang bagal ng unlisurf ng @talk2globe uggghhhh sayang 50 ko tsktsk -________- 
negative,negative,1,RT @itsmekatsumi: @talk2GLOBE NAGLOLOKO PO BA GLOBE??? http://t.co/6NygLV4fKT 
negative,negative,1,@itsmekatsumi: @talk2GLOBE NAGLOLOKO PO BA GLOBE??? http://t.co/WiV1dlKdAJ naka emoji keyboars c kats!! 
negative,negative,1,@talk2GLOBE Twice na ako nag register pero 'di ako maka send. Every send ko ng SMS may may nagttext ng trans. failed tas Nakakain yung load 
neutral,neutral,1,@talk2GLOBE http://t.co/qNRqvvqrTu 
negative,negative,1,@talk2GLOBE your powesurf svc is MISLEADING!!! You did not clearly indicate that it is NOT applicable for BB users! I fucking wasted 299! 
negative,negative,1,@talk2GLOBE guess what your stupid callcenter advised me? Change my phone! What if i do not have any other phone to use here in Mnl?? 
neutral,neutral,1,"@AerielleLlanda Hello Aerielle! In here on behalf of @talk2GLOBE, please DM me your billing address, where you ap... http://t.co/V3jbznSgWw "
negative,negative,1,@talk2GLOBE It's so stupid that you dont have any sol'n to this prob!! Fucking change my phone?! Fucking give me back my 299! 
negative,negative,1,@talk2GLOBE and tell ur call center supervisor that he made the wrong decision to give me his full name! I will definitely report u to NTC! 
neutral,neutral,1,@talk2GLOBE (1) Hi! I don't know if you could help me out on this. I just like to ask the status of the unit. I applied in SM Megamall. 
negative,negative,1,"@talk2GLOBE (2) I've been waiting for my unit for almost 2 mos now. 1st, I applied for an s3 mini, waited for almost 3 wks for the unit "
negative,negative,1,"@talk2GLOBE (3) Then they told me wala na daw s3 mini na dadating so I decided to change phone to samsung kyle. Until now, no update pa dn "
negative,negative,1,"@talk2GLOBE No, I wasn't. Didn't have chance to unsubscribe via SMS when I switched from BB to iPhone. Customer service told me... "
negative,negative,1,@talk2GLOBE (4) Almost 4 wks na ko nagaantay for that. Any news? I applied in Globe SM Megamall. Super tagal na kasi I don't know if they 
negative,negative,1,@talk2GLOBE (5) will still give me my handset so I could just cancel my application. I hope you could help me on this. Thank you very much. 
negative,negative,1,"@talk2GLOBE ..I can still unsubscribe BB Max via iPhone through text but the only reply I got was ""Sorry we cannot process request.."" "
negative,negative,1,Hey @talk2GLOBE Thank you for eating my loads! Still hungry? EAT MY PHONE!!!! 
negative,negative,1,@talk2GLOBE And it is unprofessional of your company to drop the phone on a customer just bcos u dont have any soln to the problem! 
negative,negative,1,"Hey @talk2GLOBE at sana naman po  sa susunod ung mga promos nyo, totohanin nyo naman, HINDI UNG KAYO LANG ANG NAKIKINABANG! Salamat! :-) "
neutral,neutral,1,@talk2GLOBE dm 
neutral,neutral,1,@talk2GLOBE Dm 
negative,negative,1,@talk2GLOBE Twice na ako nag register pero 'di ako maka send. Every send ko ng SMS may may nagttext ng trans. failed tas nababawasan load ko 
negative,negative,1,Can't even make a call eventhough I have a full signal bar. Thank you @talk2GLOBE I missed a lot of things today 
negative,negative,1,@cleofeeeeeeeeee HAHAHAHA. Baliw. MAy Signal Problem kasi ako ayun kaDM ko yung Talk2Globe 
negative,negative,1,Is there a problem with your system? @talk2GLOBE 
negative,negative,1,I'm done ranting. It's just really frustrating that @talk2GLOBE cant do anything abt the prob when the solution is just plain common sense. 
positive,positive,1,@talk2GLOBE Thanks! :) 
negative,negative,1,'Til now my requested changing of combo has not been changed yet? What's happening @talk2GLOBE it's been 48 hours already?? 
negative,negative,1,"@talk2GLOBE I want to report my present billing because they charging me a termination fee worth 429 and yet i finish my contract, how come? "
neutral,neutral,1,"to everyone @talk2GLOBE working tonight, Good Day, Saturday na po !! Good Job !! "
negative,negative,1,@iamNickoP @talk2GLOBE waaaaaaaa #GlobeSucks 
positive,positive,1,"@talk2GLOBE @DeniseOfGlobe @ChrisOfGlobe hello, I just got my LTE signal earlier tonight. I appreciate all the help. Thanks! "
negative,negative,1,@enjoyGLOBE you cheat and steal from your customers...#globesucks 
negative,neutral,0,"@talk2GLOBE PPCity, Palawan. I don't think it's advisable to give out addresses online. "
negative,negative,1,Ughhh. Can't live without the broadband not working :( Please fix it :( @talk2GLOBE 
negative,negative,1,"@enjoyGLOBE you should try putting disclaimers on your promos and not blame us for ""wrong registration"" "
negative,negative,1,@talk2GLOBE Hi. I activated GROAM before I left the Philippines. I'm in California right now and I don' have any network coverage. 
negative,negative,1,@enjoyGLOBE advefa dedios??? You cant do shit!!! Why are you even a supervisor??!! 
negative,negative,1,@talk2globe @HarryOfGlobe ive been waiting since Wednesday for 50512508 now ure telling me to wait for another 48 hours? Are u kidding me? 
negative,negative,1,@talk2GLOBE Twice na ako nag register pero 'di ako maka send. Every send ko ng SMS may may nagttext ng trans. failed tas Nakakain yung load 
negative,neutral,0,@talk2GLOBE i renewed my contract with u 2wks ago and was told to pick up the unit at globe center montalban on june 5.... 
negative,negative,1,"@talk2GLOBE Hi, I kept on asking about what I should do with the net-surf service I subscribed to. It won't work & 2951 says GO is invalid. "
negative,neutral,0,@talk2GLOBE i went to globe montalban yesterday and was told that they don't offer pick up of retention unit in their branch and.... 
neutral,negative,0,@TemOfGlobe @ernestcu @talk2GLOBE. What feedback are you talking about? 
positive,neutral,0,@talk2GLOBE Pa-follow back for the mean time so I could DM my information. :) 
negative,negative,1,@talk2GLOBE they told me to go to any sm globe center to pick up the unit? is this really true? coz it is such a big hassle to go to a globe 
positive,positive,1,@talk2GLOBE Sent! Thank you! 
negative,negative,1,RT @GuyAcrossTheSt: Seriously globe? 2013 na at nasa METRO MANILA ako... #GlobeSucks @talk2globe 
negative,negative,1,@talk2GLOBE center and will not answer or address my concern! just want to ask is this the care you extend to your loyal clients? 
neutral,neutral,1,"@GuyAcrossTheSt I'll check on it, Jerry. Kindly DM us via @talk2GLOBE your mobile #, handset & exact location w/ ... http://t.co/uYLQeHIECu "
negative,negative,1,@talk2GLOBE i can't send msgs. and idk why call barring is activated (i don't have that setting on my phone) 
negative,negative,1,sa @enjoyGLOBE immortal hnd nko nauubusan ng load khit matagal n ang load ko super tipid tlga 
neutral,positive,0,mula ng na try ko gumamit ng @enjoyGLOBE mas na enjoy ko ang cellphone ko sa pag ssurf 
neutral,negative,0,@talk2GLOBE after 336 hours... Di pa rin na aactivate sim ko. Nice one globe! 
negative,negative,1,yung conversation ko with @talk2GLOBE  reps ay walang pinapatunguhan!! argghh 
neutral,negative,0,@GuyAcrossTheSt @iamNickoP @talk2GLOBE kaya ako nag jump in na sa @SMARTCares 
negative,neutral,0,@talk2GLOBE Follow back so I can message my contact details (with regards to my mobile internet problems). 
neutral,neutral,1,@talk2GLOBE pls check dm 
negative,negative,1,"hi, can you please follow up the 2 phones we have been ordering since the month of May. it has been too long already. thanks. @talk2GLOBE "
neutral,neutral,1,@talk2GLOBE 
negative,negative,1,"hi, can you please follow up the 2 phones we have been ordering since the month of May. it has been too long already. thanks. @talk2GLOBE "
neutral,neutral,1,@enjoyGLOBE do you have a white BBZ10 in Eastwood? 
negative,neutral,0,"I think, no. The only # he gave is his contact#, lol. Well, I'll just wait 4d technician&I'll tweet u what's d result. @talk2globe "
neutral,neutral,1,please reply to me. :( @talk2GLOBE 
positive,positive,1,"Ok, thanks too! @talk2globe "
neutral,neutral,1,@talk2GLOBE please check my dm 
negative,negative,1,"hi, can you please follow up the 2 phones we have been ordering since the month of May. it has been too long already. @talk2GLOBE "
negative,negative,1,"Hi @talk2GLOBE, why is it that I can't connect to the internet for the past 3 days? I can only connect for a few hours. My plan is unlisurf. "
positive,positive,1,"96% satisfied sa connection ko sa BB Social :) Kahit EDGE lang, mabilis ang Globe :) @talk2GLOBE "
neutral,negative,0,Switch ka na to @tropatalkntext :D RT @JamMayoralgo: @talk2GLOBE I'm based in makati and haven't had LTE in any of the locations specified. 
neutral,neutral,1,@talk2GLOBE hi.. Any lte signal near malibay pasay city? 
neutral,negative,0,@talk2GLOBE I sent an online form requesting for internet usage extraction. No one has replied for more than 24hours now. I need this ASAP. 
neutral,neutral,1,"@talk2GLOBE Hi! I'm Diandra-Ditma Macarambon from MSU, Marawi City. I'd like to inquire about my current bill. I checked it and it said... "
positive,positive,1,@JoyceOfGlobe @talk2GLOBE thank you for the response. just want my docs for my insurance claims. who can give it? 
neutral,neutral,1,@talk2GLOBE ...that my outstanding balance is P1247.45. May I know what months this bill is for? 
negative,negative,1,Freaking mad w/ questionable charges in my @talk2GLOBE bill statement. Huge charges for services i didnt use. #consumerrights #pandaraya 
neutral,neutral,1,@talk2GLOBE Here's the link: https://t.co/A76uDK4wys 
negative,negative,1,@enjoyGLOBE been waiting since march to get my line installed/transferred .. what's going on ..Ü 
negative,negative,1,seriously!!? ?? @talk2GLOBE @StephOfGlobe http://t.co/zCsiJp5Vqb 
negative,negative,1,"@talk2GLOBE okay, I can't redeem from my points and kinain ung load credits ko. Nice one. "
neutral,neutral,1,@talk2GLOBE is it possible to change my sim with LTE sim? 
positive,neutral,0,@talk2GLOBE @HarryOfGlobe please check if this is the handset base price because i'm on 30 months lockout and the handset should be free. 
positive,neutral,0,@talk2GLOBE Is EDGE the signal indicator? Followed back! :) 
neutral,neutral,1,Now you can surf unlimited for 600 a month with @enjoyGLOBE Best Ever My Super Plan (with 499 consumable too!) http://t.co/lIoyM9tean 
negative,negative,1,"i dont have signal on my line, what seems to be d problem @talk2GLOBE "
negative,negative,1,Internet connection? Sucks! Globe @talk2GLOBE please do something about this. 
negative,negative,1,@talk2GLOBE why I can't subscribe to any of your promos? Is there something wrong? 
neutral,negative,0,@talk2GLOBE @RolandOfGlobe @KenOfGlobe can anyone help with my application status? It's been a week now... 
negative,negative,1,I cannot @enjoyGLOBE. is there anyway u could fix signal problems? 
negative,negative,1,@talk2GLOBE GoogleHangouts doesn't load 90% of the time. Tells me something is wrong. 
negative,negative,1,Internet connection? Sucks! Globe @talk2GLOBE please do something about it. 
negative,negative,1,@talk2GLOBE - I need help. Hindi ko maintindihan kung bakit ganito kalaki ang bill ko next cut-off? Enlighten me. http://t.co/Gn2N7ilAR0 
negative,negative,1,@talk2GLOBE Please check... My number has changed back to the old number :( and I cannot receive texts or calls 
positive,neutral,0,@NelskiOfGlobe @StephOfGlobe @talk2GLOBE Hi guys! Just following up on my plan config. Here's the Ref#: 50325645. Thanks! :) 
negative,,,"@enjoyGLOBE does the signal strenght here in dasmarinas, cavite is too weak to use for globe tattoo pocket ... http://t.co/tH9blQb1yE "
negative,,,"@talk2GLOBE your services are fine, but you have the most horrible customer service! "
neutral,,,"RT @marieyanna: @enjoyglobe I want a #GlobeGalaxyS4LTE for my #MusicBuddy coz we love going to gigs,take photos&videos @jerralynrocks http:÷ "
negative,,,@enjoyGLOBE been waiting since march to get my line installed/transferred .. what's going on ..Ü 
negative,,,@talk2GLOBE @HarryOfGlobe it's been days! What's d status of signal? Don't tell me mu request will be delegated again to another staff??!! 
negative,,,"@talk2GLOBE and just so we're clear, you answer better not be about ""rebooting"" anything or blaming firewalls and anti-viruses! "
negative,,,"@enjoyGLOBE My Wimax subscription is for 1mbps, but I can hardly get 512kbps connection. I don't get the service that I pay for. Frustrating "
negative,,,"Hay, ang sayang talaga sa 999 ko every month @talk2GLOBE! Prang pera tinapon lang sa inyo! http://t.co/613PYYcjQT "
positive,,,"@talk2GLOBE i cant find my accnt number but my full name is Godofredo P. Timajo, Jr. Thanks! "
positive,,,"@rgnanne Hello Gian! In here on behalf of @talk2GLOBE, what freebies do you want to change? "
neutral,,,@talk2GLOBE you should just ask them to call me back since my full name is here. Why is that not standard practice? I want to upgrade plans 
negative,,,@talk2GLOBE I do not want to spend hours at your business center wc us such a waste of Hours.You guys should be more considerate & efficient 
neutral,,,Sige nga.. #Spam @talk2GLOBE http://t.co/NbDIwh8B63 
neutral,,,Your team is such an inconvience! @enjoyGLOBE  #nojoy 
neutral,,,"@talk2GLOBE Hi. I know you don't unlock phones, but do I have permission to unlock my phone? I mean just unlock not jailbreak or anything. "
negative,,,"@talk2GLOBE @NelskiOfGlobe oi ano to!? hindi na nga dumadating bill ko, sisingilin nyo pa ako na one-time charges? http://t.co/2d2DzgDeJE "
negative,,,Yung eksenang kelangan mo ng ticket sa #candycrush kagabi pero d ka na makalabas ng bahay para mag-internet! #globesucks @talk2GLOBE 
positive,,,@talk2GLOBE thank you 
positive,,,"@talk2GLOBE  hi, this is for a BlackBerry Q10, on Plan 999 with the 12k cashout. It's under Roland Adrian Dela Cruz Ignacio. Thanks! "
negative,,,wala bang retention/loyalty para sa tattoo postpaid subrscriber?@enjoyGLOBE 
negative,,,@talk2GLOBE Im with you for 13 yrs. Paying my monthly bills in advance. I should get a compensation for this for messing my account. 
neutral,,,@talk2GLOBE @JenOfGlobe nope its always close.. 
positive,,,@talk2GLOBE Thanks again :) 
neutral,,,@talk2GLOBE noted. 
negative,,,"Good Morning. @talk2GLOBE, why are you not answering my queries? @StephOfGlobe @KenOfGlobe @RolandOfGlobe @DeyOfGlobe "
negative,,,Bakit pabagal ng pabagal ang mobile internet ko with @enjoyGLOBE Kapag nasa bahay? #SMH 
negative,,,@talk2GLOBE hanggang kelan ako mag-aantay para sa replacement ng sim ng postpaid ko?1month na wla pdn feedback! #sobagalbgservice #grabe 
negative,,,@talk2GLOBE Globe! Please! I need my postpaid sim back! Please! Ang bagal ng service! 1month na di pa narereplace sim ko!! 
negative,,,"@talk2GLOBE you don't get my point, I can ignore numbers which I don't know, what bothers me is the text ... http://t.co/grZHKufrXj "
neutral,,,@talk2GLOBE Case #1543297. 
negative,,,@talk2GLOBE still ntermittent. Using vaio laptop and iphone 4. 
neutral,,,@talk2GLOBE I paid bill number 8 but then I have previous bill stated in my bill number 9 
positive,,,@talk2GLOBE thanks 
neutral,,,@timmysebastian Good morning Timmy. Is this regarding account number 453? I saw your direct message to @talk2Globe. 
negative,,,@JenOfGlobe @talk2GLOBE ilang araw na ko nagmomonitor. And before that 3 weeks na kami naghintay. Tapos monitor nanaman?! 
negative,,,@talk2GLOBE @KenOfGlobe it's already active as of 6 pm last night thanks. ?????? 
neutral,,,Gusto ko na ang S4 agad kesa iP5. #thisjuly #renew #globe @talk2GLOBE 
negative,,,@JenOfGlobe @talk2Globe please. Kasi after niyan LTE activation naman. Another unlimited pakikipag usap nanaman yun eh. 
positive,,,@GlobeTelecomPH @talk2GLOBE hello po! pwede rin po bang installment ang payment ng BB Q10 sa Plan 499? Thanks :) 
neutral,,,@talk2GLOBE when can i expect my May and April bill? 
negative,,,"Globe is an epic fail! I unsubscribed from superfb, the reply was a notice that registered again. And it charged me again. Wtf!! @enjoyGLOBE "
negative,,,I'm not enjoying @enjoyGLOBE >: 
negative,,,"@thyisyours omg. Have u talked to @talk2GLOBE ? Until now, my postpaid sim isn't activated hayst "
positive,,,"@talk2GLOBE super fast and for FREE. With smart, there's an additional monthly payment of P500. #GlobeYourWay #LoveGlobe #LTE "
positive,,,@talk2GLOBE alright thank you! 
