,Word,Filipino translation,Valence,Arousal,Dominance
175,adulterer,"mapangalunyang lalaki, babaero",2.77,5.68,3.2
176,adultery,pakikiapid,2.81,6.42,3.33
177,adulthood,kagulangan,5.05,4.28,6.11
178,advance,"iabante, isulong, ipauna",6.11,4.62,6.12
179,advanced,"mas una, mas mahirap",6.14,3.83,6.96
180,advancement,"pagsulong, kagalingan, pag-abante",7.47,5.81,6.38
181,advantage,"bentahe, kalamangan, pakinabangan",6.71,3.95,7.19
182,advantageous,"mas pabor, mas mainam, kapaki-pakinabang",6.79,5.7,6.22
183,adventure,pakikipagsapalaran,7.4,6.36,6.36
184,adventurer,"abenturero, taong mahilig makipagsapalaran",7,5.27,5.83
185,adventurous,"mahilig makipagsapalaran, malakas ang loob",7.37,6.67,5.71
186,adversary,"kaaway, kagalit",4.55,4.41,5
187,adverse,"salungat, kontra, nakasasama",3.68,3.89,3.35
188,adversity,kamalasan,4.26,3.82,4.63
189,advertise,ipamalita,5.16,4.29,5.74
190,advertisement,"patalastas, anunsyo",4.3,4.14,5.84
191,advertising,negosyo ng patalastas,4.68,3.25,5
192,advice,payo,5.78,3.05,5.83
193,advisable,"maipapayo, makabubuti",5.62,4.36,5.86
194,advise,"payuhan, pangaralan, paalalahanan, pagsabihan",5.44,3.38,6.41
195,advisement,pagpapayo,4.55,4.04,5.92
196,adviser,tagapayo,5.68,3.36,6.18
197,advisor,tagapayo,4.74,3.19,5.7
198,advisory,abiso,4.95,4.05,4.19
199,advocate,"tagapagsulong, tagapagtaguyod, tagapagtanggol",5.25,4.59,7.26
200,aerial,panghimpapawid,6.04,3.67,5.17
201,aerobics,aerobiko,6,5.1,5.7
202,aerodynamic,aerodinamiko,6.16,4.33,5.1
203,aerospace,aeroespasyo,5.79,4.52,5.17
204,aesthetic,"pansining, estetika",5.43,2.88,5.5
205,affair,"gawain, kapakanan, ",3.1,5.4,5.89
206,affect,apekto,5.65,3.61,6.39
207,affection,pagmamahal,7.89,5.64,6.6
208,affectionate,mapagmahal,7.23,4.77,6.9
209,affidavit,apidabit,4.38,3.73,4.04
210,affiliation,kaugnayan,5.32,3.9,5.3
211,affinity,"relasyon, apinidad",5.86,4.29,6.55
212,affirmation,pagpapatunay,5.95,3.95,6.53
213,affirmative,"positibo, sumasang-ayon",5.94,3.64,6.78
214,affliction,"lungkot, lumbay, sakit",3.76,5.1,4.17
215,afford,makaya,6.56,4.33,6.44
216,affordable,abot-kaya,7.52,4.11,6.16
217,affront,"insulto, pagdusta, humamak",4.53,4.5,5.04
218,afire,nasusunog,6.05,5.41,4.38
219,afloat,nakalutang,5.57,4.13,4.96
220,aforementioned,naturan,5.21,3.5,4.96
221,afraid,takot,2.25,5.12,2.71
222,african,aprikano,6.42,4.11,5.8
223,afterlife,kabilang-buhay,5.53,4.32,5.86
224,aftermath,pagkatapos,4.29,5.38,4.23
225,afternoon,hapon,6.68,3.48,5.71
226,aftershave,pagkatapos mag-ahit,5.55,3.5,5.81
227,age,edad,5.78,3.71,4.67
228,agency,ahensiya,5.14,3.17,4.89
229,agenda,"adyenda, pag-uusapn",5.05,3.62,5.36
230,agent,ahente,5.23,3.43,5.65
231,aggravate,"palalain, palubhain",2.55,5.9,4.85
232,aggravation,magpalubha,2.48,5.35,4.45
233,aggression,"agresyon, pagsalakay",3.18,5.69,4.65
234,aggressive,agresibo,3.08,5.87,5.49
235,aggressiveness,pagiging agresibo,3.58,6.43,5.21
236,aggressor,"agresor, nanalakay",2.8,6.55,4.57
237,agile,"mabilis, maliksi",5.95,4.95,6.09
238,agility,"liksi, bilis",6.55,4.21,6.41
239,aging,pagtanda,3,3.8,3.06
240,agitate,"guluhin, bulabugin",3.36,5.82,4.55
241,agitation,"bagabag, panunulsol",2.84,4.75,3.29
242,aglow,"nagliliyab, kumikinang",5.84,4.83,5.59
243,agonizing,"naghihirap, nagdurusa",2.68,6.71,4.04
244,agony,"paghihirap, pagdurusa",2.46,5.78,4
245,agree,sang-ayon,7.17,3.62,6.94
246,agreeable,"magkasundo, sumasang-ayon",6.9,3.55,6.97
247,agreement,kasunduan,6.75,4.05,6.48
248,agricultural,agrikultural,5.5,3.55,5.74
249,agriculture,agrikultura,6.1,3.05,6
250,ahoy,ahoy,5.58,3.95,5.45
251,aid,tulong,6.29,4.55,5.95
252,aide,"katulong, alalay",5.6,4,7.05
253,aids,mga tulong,3.52,3.75,4.88
254,AIDS,AIDS,1.33,5,3.55
255,ailing,may-sakit,2.95,4.52,4.15
256,ailment,sakit,3,3.68,3.14
257,aim,"layunin, tunguhin",5.95,4,6.5
258,air,"hangin, ere",6.71,3.25,5.72
259,airbag,,5.4,3.64,4.81
260,airborne,padpad ng hangin,5.25,3.52,4.48
261,aircraft,sasakyang panghimpapawid,6.3,4.86,5.71
262,aircraft carrier,tagapaghatid ng mga eroplano,5.25,4.64,5.85
263,airfield,paliparan,5.74,4.38,4.82
264,airhead,daugngan ng eroplano malapit sa base,4.1,4.3,4.19
265,airline,negosyo ng pag-eeroplano,5.36,4.12,4.92
266,airliner,pampasaherong eroplano,6.05,4,4.25
267,airlock,,4.85,4.23,5
268,airplane,eroplano,5.25,5.62,4.12
269,airport,paliparan,6,5.5,5.79
270,airship,sasakyang panghimpapawid na nakalutang sa hangin,5.63,4.88,4.43
271,airspace,himpapawid na pag-aari ng isang bansa,5.5,4.4,4.91
272,airspeed,bilis ng paglipad,4.95,4.33,5.24
273,airstrip,airstrip,4.76,3.83,5.1
274,airtight,hindi pinapasukan ng hangin,5.1,3.3,4.76
275,airway,ruta ng eroplano,4.95,4,3.95
276,aisle,"pasilyo, pagitan, daanan",5.17,2.5,4.87
277,ajar,nakaawang,5,3.26,5.28
278,aka,alyas,4.63,3.39,4.4
279,alabaster,alabastro,5.5,3.95,5.35
280,alarm,"alarma, babala, hudyat",3.86,6.85,6.58
281,alarm clock,orasang pang-alarma,3.47,5.36,4.82
282,alarming,"nakababahala, nakakaalarma",3.52,6.5,4.05
283,albatross,albatros,5.68,3.09,4.91
284,albino,"albino, anak-araw",4.9,3.09,4.05
285,album,album,6.19,5.63,5.86
286,alcohol,alkohol,4.11,5.17,4
287,alcoholic,lasenggo,2.49,5.48,3.27
288,alcoholism,pagkasugapa sa alak,2,5,3
289,alcove,alkoba,5.5,3.32,5.33
290,alderman,kasangguni,4.44,3.05,5.04
291,ale,matapang na serbesa,5.95,4.1,5.17
292,alert,alerto,5.38,5.14,6.58
293,alfalfa,alfalfa,4.79,3.67,5.73
294,algebra,algebra,5.4,4.6,4.54
295,algorithm,algoritmo,5.3,3.7,4.04
296,alias,alyas,5,4.71,5.94
297,alibi,"sangkalan, palusot",4.16,4.5,5.17
298,alien,"dayo, banyaga",4.45,4.86,3.56
299,alienate,mapahiwalay,2.79,4.27,3.71
300,alienation,alyenasyon,2.53,5.14,3.33
301,alight,"bumaba, umibis",5.67,3.86,5.88
302,align,"ihanay, ipantay, ipila",5.95,3.32,5.95
303,alignment,"pagkakahanay, pagkakapila",6,3.92,6.32
304,alimony,"sustento, alimonya",3.86,3.09,4.32
305,alive,"buhay, masigla",6.57,5.93,6.77
306,allegation,"alegasyon, bintang, paratang",3.26,5.9,3.96
307,alleged,"ibintang, ipinaratang",3.62,5.09,4.27
308,allegiance,katapatan ,5.8,5.17,7.05
309,allegro,allegro,5,3.89,5.36
310,allergic,"ayaw, kontra",3,5.4,3.81
311,allergy,allergy,2.9,3.9,3.5
312,alleviate,pagaanin,6.25,3.45,5.84
313,alley,"eskinita, kalyehon",4.17,4.08,4.63
314,alleyway,eskinita,3.46,3.7,5.2
315,alliance,"alyansya, pagsasanib-sanib",6.14,4.4,5.78
316,allied,"kaalyado, kaanib",5.95,3.38,5.4
317,alligator,buwaya,4.23,5.36,4.1
318,allow,payagan,6.39,2.95,6.11
319,allowance,"alawans, panggastos, panustos",6.74,4.05,5.7
320,alloy,haluang metal,5.2,3.32,5.9
321,allure,"akitin, alindog",6.9,4.25,5.77
322,alluring,"kaakit-akit, kabigha-bighani",6.74,4.35,5.86
323,ally,kakampi,6.05,4.8,6.84
324,almanac,almanake,5.55,3.24,5.88
325,almighty,makapangyarihan,6.15,4.59,5.81
326,almond,almendras,6.05,2.89,6.46
327,aloha,aloha,7.1,3.82,6.33
328,alone,mag-isa,3.85,4,4.5
329,aloof,malayo ,4.59,3.09,4.63
330,alpha,simula,5.5,3.67,6.32
331,alphabet,alpabeto,5.95,3.15,5.79
332,alphabetical,nakaalpabeto,6.32,3,6.14
333,alpine,alpes,5.84,3.52,5.74
334,altar,"altar, dambana",5.59,4.05,5.68
335,altar boy,sakristan,4.76,3.11,4.62
336,alter,baguhin,4.57,4.17,5.57
337,alteration,pagbabago,5.05,4.05,6.15
338,altercation,balitaktakan,3.61,5.62,4.4
339,alternate,"maghalili, maghalinhinan",5.15,3.48,5.2
340,alternating,"salit-salit, salitan",5.37,4.27,5.53
341,alternative,"alternatibo, pamimili",5.33,3.61,6.33
342,altimeter,altimetro,4.5,3.61,5
343,altitude,taas,5.27,4.15,5.46
344,aluminum,aluminyo,5.1,4.05,6
345,alumnus,lalaking nakapagtapos,4.95,3.23,6.1
346,alzheimers,alzheimers,2.26,4.5,2
347,amaretto,amaretto,6,4.04,5.19
348,amateur,"baguhan, bagito",4.58,3.55,5.25
349,amaze,"manggilalas, magtaka",7.24,5,5.83
350,amazed,"nanggilalas, nagtaka",7.55,5.95,6.11
351,amazement,"paghanga, pagkagulat",7.29,6.3,6.43
352,amazing,"kagila-gilalas, kahanga-hanga",7.72,6.05,6.83
353,ambassador,"ambasador, kinatawan",5.5,3.91,6.2
354,amber,"ambar, amber",6.15,3.36,6.21
355,ambience,atmospera ng kaligiran,6.35,3.85,5.57
356,ambient,kapaligiran,6.33,3.2,4.86
357,ambiguous,malabo,5.16,4,5.12
358,ambition,ambisyon,7.28,4.86,6.36
359,ambitious,"ambisyoso, mapaghangad",6.33,5.76,5.88
360,ambrosia,ambrosya,5.95,4.05,5.67
361,ambulance,ambulansiya,3.71,5.33,3.29
362,ambush,"tumambang, tambangan",3.17,5.58,3.96
363,amend,"magsusog, susugan, baguhin",5.85,3.06,4.96
364,amendment,"pagsusog, pagbabago",5.6,3.5,4.77
365,amends,bayad-pinsala,6.68,3.95,5.96
366,amiable,magiliw,6.7,2.85,6.14
367,amino,amino,4.45,3.83,5.73
368,ammo,ammo,4.18,5.53,5.52
369,ammonia,amonya,3.74,3,3.83
370,ammonium,amonyum,4.06,4.37,4.84
371,ammunition,"munisyon, sandata",4.59,5.7,5.95
372,amnesia,amnesya,3.43,5.04,3.08
373,amnesty,amnestiya,5.38,3.86,6
374,amorous,"mapagmahal, karinyoso, palaibig",5.95,4.21,6
375,amount,"halaga, laki, dami",5.42,3.53,5.39
376,amour,amor,6.43,5.43,5.91
377,amp,amp,5.79,5.05,5.13
378,amphibian,ampibiyan,5.4,3.35,5.42
379,amphibious,malaampibiyan,5.75,5.7,4.85
380,ample,sapat,5.89,3.28,6.04
381,amputate,putulin,2.1,5.43,3
382,amputation,pagputol,1.84,4.86,2.85
383,amuck,"maghuramentado, manibasib",4,4.41,3.74
384,amulet,anting-anting,5.75,3.95,5.79
385,amuse,"libangin, aliwin",7.1,5.17,6.8
386,amused,"nalibang, naaliw",7.05,4.27,5.93
387,amusement,"libangan, aliwan",7,4.82,6.59
388,amusing,"nakalilibang, nakaaaliw",7.6,5.18,6.79
389,anaconda,anakonda,4.43,6,4.08
390,anagram,anagrama,4.37,3.86,4.83
391,anal,hingil sa tumbong,4,4.29,4.45
392,analogy,"analohiya, pagkakatulad, pagkakahawig",5.24,3.95,5.33
393,analysis,"analisis, pagsusuri",5.25,3.74,5.95
394,analyst,tagasuri,5,3.24,4.76
395,analytical,mapanuri,6,4.13,6.43
396,analyze,suriin,5.65,4.1,5.96
397,analyzer,analisador,4.62,3.48,5.88
398,anaphylactic,anapilaktik,4,5.57,4.17
399,anarchist,anarkista,2.76,4.16,4.57
400,anarchy,anarkiya,3.68,4.86,3.1
401,anatomy,anatomiya,6.29,4.43,5.95
402,ancestor,"nuno, ninuno",6.37,3.73,4.81
403,ancestral,"mana, minana",6.6,3.6,5.05
404,ancestry,pinagnunuang angkan,6.29,3.71,4.16
405,anchor,angkla,5.16,3.32,5.29
406,anchorage,"pagdaong, pagkakadaong",5.09,3.82,5.8
407,ancient,"sinauna, napakatanda",7.24,3.48,4.86
408,android,androyd,5.62,3.5,5.75
409,anecdote,anekdota,5.62,4.65,6
410,anemia,anemya,3.05,4.09,3.55
411,anemic,anemiko/a,3.45,3.45,3.14
412,anesthesia,"anestisya, pampamanhid",4.84,3.64,2.95
413,anesthesiologist,espesyalista sa anestisya,4.95,3.56,3.68
414,anesthetic,"pampatulog, pampamanhid",5.48,3.23,4.72
415,aneurysm,aneurysm,2.5,5.38,2.7
416,angel,anghel,7.71,4.24,5.9
417,angelic,malaanghel,6.68,4.27,6.32
418,anger,"galit, poot",2.5,5.93,5.14
419,angina,angina,2.85,4.72,4
420,angiogram,angiogram,4.19,3.61,4.28
421,angle,"anggulo, pananaw",4.55,3.22,5.27
422,angora,angora,5.63,2.95,5
423,angry,"galit o pagkagalit, poot o pagkapoot",2.53,6.2,4.11
424,angst,angst,3.5,5.76,3.62
425,anguish,"hapis, dalamhati",3.14,5.41,4.27
426,anguished,"nahapis, nagdalamhati",2.78,4.79,2.88
427,animal,hayop,7.06,4.3,5.72
428,animated,"buhay, masigla",6.65,5.77,6.71
429,animation,"animasyon, kasiglahan",6.42,5.52,5.16
430,animosity,matinding pagkapoot,3.4,5.83,5.04
431,ankle,bukong-bukong,5.4,3.11,5.58
432,anklet,puseras sa binti,4.75,3.57,5.08
433,annals,ulat-pangkasaysayan,4.8,2.6,4.95
434,annex,"magkabit, ikabit",4.41,4,5.26
435,annihilate,"magwasak, lumipol, lumipig, puksain",3.15,6.44,4.62
436,annihilation,"pagkawasak, pagkalipol, pagkapuksa",2.58,5.52,3.2
437,anniversary,anibersaryo,6.95,4,6.86
438,announce,anunsyo,5.52,3.65,5.48
439,announcement,"pahayag, babala, patalastas, paunawa",5.81,4.3,5.05
440,announcer,tagapagbalita,5.84,4.5,4.07
441,annoy,"mayamot, mabagot, mang-asar, mang-abala",2.49,5.04,4.64
442,annoyance,"pagkayamot, pagkabagot, pang-aabala",2.95,4.1,3.45
443,annoyed,"nayamot, nabagot, naasar, naabala",2.8,5.29,4.08
444,annoying,"nakakayamot, nakakaasar, nakakabagot, nakabubuwisit",3,5.55,3.28
445,annual,taunan,5.19,3.7,4.9
446,annul,pawalang-bisa,3.83,4.23,4.9
447,annulment,pagpapawalang-bisa,4.05,4.14,4.15
448,anointed,binasbasan,4.79,3.32,5.18
449,anomaly,"anomalya, iregularidad, katiwalian",4.84,4.25,4.26
450,anonymity,walang pagkakakilanlan,4.81,3.29,5.88
451,anonymous,anonima,5.75,4.13,5.48
452,anorexic,anoreksiya,2.71,4.24,3.43
453,answer,"sagot, ksagutan",6.1,4,5.95
454,ant,langgam,3.9,3.27,5.3
455,antagonistic,"antagonista, mapanlaban, palatutol",4.32,4.11,4.41
456,antagonize,"pagalitin, kalabanin, salungatin",3.15,4.95,4
457,antelope,,5.68,4.46,5.57
458,antenna,antena,5.43,3.15,5.67
459,anterior,"sinusundan, nauna",4.89,3.36,4.64
460,anthem,antem,5.95,4.48,6.29
461,anthill,punso,4.32,4.63,4.76
462,anthrax,anthrax,2.32,4.72,2.71
463,anthropological,antropolohikal,5.53,3.82,5.14
464,anthropologist,antropologo,5.7,3.27,5.19
465,anthropology,antropolohiya,5.3,2.91,6
466,anti,"anti, kontra",4.47,4.23,5.05
467,antiaircraft,kanyong panlaban sa pananalakay sa himpapawid,4.85,4.6,4.73
468,antibiotic,antibiyotiko,5.88,4.05,5.72
469,antibiotics,mga antibiyotiko,5.05,4.05,5.11
470,antichrist,Anti-Kristo,2.36,5.58,4.39
471,anticipate,"umasa, maghintay, asamin, mauna",6,5.7,5.36
472,anticipation,"pag-asam, paghihitay, paghihintay",5.26,5.39,5.53
473,antics,"kalokohan, katatawan",3.95,5.1,5.24
474,antidote,"pamatay-bisa, panlunas",6.55,3.24,6.08
475,antigravity,kontragrabidad,5.74,5.1,3.77
476,antiquated,sinauna,5,4.95,4.69
477,antique,antigo,6.5,4,5.79
478,antiques,mga antigo,6.63,3.68,5.17
479,antiseptic,"antiseptiko, pandisimpekta",4.57,3.15,4.77
480,antisocial,antisosyal,3.21,5.32,5.33
481,antsy,"di-mapakali, maligalig, malikot",4.36,5.23,3.85
482,anus,puwet,2.9,4.39,4.96
483,anvil,palihan,5.05,4.4,5.38
484,anxiety,"pagkabagabag, labis na pag-aalala",2.38,4.78,3.39
485,anxious,"nababagabag, nag-aalala",3.8,6.2,4.15
486,anytime,anumang oras,5.81,4.6,5.32
487,aorta,ayorta,4.35,3.64,4.37
488,aortic,ayortik,4.25,3.5,4.58
489,apache,apache,5.2,3.7,4.95
490,apartment,"apartment, aksesorya, paupahan",5.72,3.8,5.33
491,apartments,mga paupahan ,5,3.28,5.18
492,apathy,"walang pakialam, walang malasakit",3.68,3.8,5.15
493,ape,bakulaw,5.21,4.25,5.38
494,apex,"taluktok, tugatog",5.52,3.48,5.17
495,aphrodisiac,"pampalibog, pampagana sa pakikipagtalik",6.43,5.96,5.04
496,apocalypse,apokalipsis,3.24,5.04,2.65
497,apologetic,humihingi ng tawad o paumanhin,6.65,4,5
498,apologize,humingi ng tawad o paumanhin,4.94,3.52,4.22
499,apology,paghingi ng tawad o paumanhin,6.24,4,5.1
500,apostle,"apostol, alagad, disipulo",5.5,4.38,4.71
501,apothecary,apotekaryo,5.48,4.23,5.35
502,appalled,nangilabot,3.62,4.91,4.11
503,appalling,kakila-kilabot,2.95,5.5,4.55
504,apparatus,"aparatus, kasangkapan",5.5,4,5.14
505,apparel,"kasuotan, damit",5.38,4.3,6.19
506,apparent,"maliwanag, malinaw",4.96,3.19,6.4
507,apparition,"aparisyon, pangitain, multo",4.85,4.82,4.38
508,appeal,"pagsamo, panawagan, apelasyon",6.3,3.57,5.36
